As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
2021-02-05,1,1,-,Firefly Lane,TV Show,Yes,"Feb 3, 2021",2,20
2021-02-05,2,2,3,Bridgerton,TV Show,Yes,"Dec 25, 2020",42,374
2021-02-06,1,1,-,Firefly Lane,TV Show,Yes,"Feb 3, 2021",3,30
2021-02-06,2,2,3,Bridgerton,TV Show,Yes,"Dec 25, 2020",43,383
2021-02-07,1,1,-,Firefly Lane,TV Show,Yes,"Feb 3, 2021",4,40
2021-02-07,2,3,-,Malcolm & Marie,Movie,Yes,"Feb 5, 2021",2,17
2021-02-08,1,1,-,Firefly Lane,TV Show,Yes,"Feb 3, 2021",5,50
2021-02-08,2,4,-,The Sinner,TV Show,,"Jul 2, 2018",2,16
2021-02-09,1,1,-,Firefly Lane,TV Show,Yes,"Feb 3, 2021",6,60
2021-02-09,2,2,-,The Sinner,TV Show,,"Jul 2, 2018",3,25
2021-02-10,1,1,-,Firefly Lane,TV Show,Yes,"Feb 3, 2021",7,70
2021-02-10,2,3,-,iCarly,TV Show,,"Feb 8, 2021",2,17
2021-02-11,1,-,-,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",1,10
2021-02-11,2,1,1,Firefly Lane,TV Show,Yes,"Feb 3, 2021",8,79
2021-02-12,1,1,-,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",2,20
2021-02-12,2,2,1,Firefly Lane,TV Show,Yes,"Feb 3, 2021",9,88
2021-02-13,1,-,-,To All the Boys Always and …,Movie,Yes,"Feb 12, 2021",1,10
2021-02-13,2,1,-,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",3,29
2021-02-14,1,2,-,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",4,39
2021-02-14,2,1,-,To All the Boys Always and …,Movie,Yes,"Feb 12, 2021",2,19
2021-02-15,1,1,-,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",5,49
2021-02-15,2,2,-,To All the Boys Always and …,Movie,Yes,"Feb 12, 2021",3,28
2021-02-16,1,1,-,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",6,59
2021-02-16,2,4,3,iCarly,TV Show,,"Feb 8, 2021",8,64
2021-02-17,1,1,-,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",7,69
2021-02-17,2,2,2,iCarly,TV Show,,"Feb 8, 2021",9,73
2021-02-18,1,3,-,Good Girls,TV Show,,"Jan 1, 2019",2,18
2021-02-18,2,1,1,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",8,78
2021-02-19,1,6,-,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",2,15
2021-02-19,2,1,-,Good Girls,TV Show,,"Jan 1, 2019",3,27
2021-02-20,1,-,-,I Care a Lot.,Movie,Yes,"Feb 19, 2021",1,10
2021-02-20,2,1,-,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",3,24
2021-02-21,1,1,-,I Care a Lot.,Movie,Yes,"Feb 19, 2021",2,20
2021-02-21,2,2,-,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",4,33
2021-02-22,1,1,-,I Care a Lot.,Movie,Yes,"Feb 19, 2021",3,30
2021-02-22,2,2,-,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",5,42
2021-02-23,1,1,-,I Care a Lot.,Movie,Yes,"Feb 19, 2021",4,40
2021-02-23,2,2,-,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",6,51
2021-02-24,1,1,-,I Care a Lot.,Movie,Yes,"Feb 19, 2021",5,50
2021-02-24,2,2,-,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",7,60
2021-02-25,1,1,-,I Care a Lot.,Movie,Yes,"Feb 19, 2021",6,60
2021-02-25,2,2,6,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",8,69
2021-02-26,1,5,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",2,16
2021-02-26,2,1,-,I Care a Lot.,Movie,Yes,"Feb 19, 2021",7,69
2021-02-27,1,1,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",3,26
2021-02-27,2,-,-,Bigfoot Family,Movie,Yes,"Feb 26, 2021",1,9
2021-02-28,1,1,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",4,36
2021-02-28,2,2,-,Bigfoot Family,Movie,Yes,"Feb 26, 2021",2,18
2021-03-01,1,1,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",5,46
2021-03-01,2,2,-,Bigfoot Family,Movie,Yes,"Feb 26, 2021",3,27
2021-03-02,1,1,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",6,56
2021-03-02,2,2,-,Bigfoot Family,Movie,Yes,"Feb 26, 2021",4,36
2021-03-03,1,1,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",7,66
2021-03-03,2,2,-,Bigfoot Family,Movie,Yes,"Feb 26, 2021",5,45
2021-03-04,1,1,5,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",8,76
2021-03-04,2,-,-,Murder Among the Mormons,TV Show,Yes,"Mar 3, 2021",1,9
2021-03-05,1,1,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",9,86
2021-03-05,2,2,-,Murder Among the Mormons,TV Show,Yes,"Mar 3, 2021",2,18
2021-03-06,1,1,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",10,96
2021-03-06,2,2,-,Murder Among the Mormons,TV Show,Yes,"Mar 3, 2021",3,27
2021-03-07,1,1,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",11,106
2021-03-07,2,2,-,Murder Among the Mormons,TV Show,Yes,"Mar 3, 2021",4,36
2021-03-08,1,1,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",12,116
2021-03-08,2,2,-,Murder Among the Mormons,TV Show,Yes,"Mar 3, 2021",5,45
2021-03-09,1,1,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",13,126
2021-03-09,2,2,-,Murder Among the Mormons,TV Show,Yes,"Mar 3, 2021",6,54
2021-03-10,1,1,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",14,136
2021-03-10,2,2,-,Murder Among the Mormons,TV Show,Yes,"Mar 3, 2021",7,63
2021-03-11,1,1,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",15,146
2021-03-11,2,-,-,Last Chance U: Basketball,TV Show,Yes,"Mar 10, 2021",1,9
2021-03-12,1,1,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",16,156
2021-03-12,2,2,-,Last Chance U: Basketball,TV Show,Yes,"Mar 10, 2021",2,18
2021-03-13,1,1,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",17,166
2021-03-13,2,2,-,Last Chance U: Basketball,TV Show,Yes,"Mar 10, 2021",3,27
2021-03-14,1,-,-,Yes Day,Movie,Yes,"Mar 12, 2021",1,10
2021-03-14,2,1,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",18,175
2021-03-15,1,1,-,Yes Day,Movie,Yes,"Mar 12, 2021",2,20
2021-03-15,2,2,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",19,184
2021-03-16,1,1,-,Yes Day,Movie,Yes,"Mar 12, 2021",3,30
2021-03-16,2,2,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",20,193
2021-03-17,1,1,-,Yes Day,Movie,Yes,"Mar 12, 2021",4,40
2021-03-17,2,2,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",21,202
2021-03-18,1,1,-,Yes Day,Movie,Yes,"Mar 12, 2021",5,50
2021-03-18,2,2,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",22,211
2021-03-19,1,1,-,Yes Day,Movie,Yes,"Mar 12, 2021",6,60
2021-03-19,2,2,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",23,220
2021-03-20,1,1,-,Yes Day,Movie,Yes,"Mar 12, 2021",7,70
2021-03-20,2,5,-,Deadly Illusions,Movie,Yes,"Mar 18, 2021",2,15
2021-03-21,1,1,1,Yes Day,Movie,Yes,"Mar 12, 2021",8,80
2021-03-21,2,2,-,Deadly Illusions,Movie,Yes,"Mar 18, 2021",3,24
2021-03-22,1,2,-,Deadly Illusions,Movie,Yes,"Mar 18, 2021",4,34
2021-03-22,2,5,-,Operation Varsity Blues,Movie,Yes,"Mar 17, 2021",5,30
2021-03-23,1,1,-,Deadly Illusions,Movie,Yes,"Mar 18, 2021",5,44
2021-03-23,2,4,2,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",27,250
2021-03-24,1,1,-,Deadly Illusions,Movie,Yes,"Mar 18, 2021",6,54
2021-03-24,2,2,2,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",28,259
2021-03-25,1,2,2,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",29,269
2021-03-25,2,1,-,Deadly Illusions,Movie,Yes,"Mar 18, 2021",7,63
2021-03-26,1,1,2,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",30,279
2021-03-26,2,-,-,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",1,9
2021-03-27,1,2,-,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",2,19
2021-03-27,2,1,4,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",31,288
2021-03-28,1,-,-,Bad Trip,Movie,,"Mar 26, 2021",1,10
2021-03-28,2,6,-,Secret Magic Control Agency,Movie,Yes,"Mar 25, 2021",2,14
2021-03-29,1,1,-,Bad Trip,Movie,,"Mar 26, 2021",2,20
2021-03-29,2,-,-,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",3,28
2021-03-30,1,1,-,Bad Trip,Movie,,"Mar 26, 2021",3,30
2021-03-30,2,2,-,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",4,37
2021-03-31,1,1,-,Bad Trip,Movie,,"Mar 26, 2021",4,40
2021-03-31,2,2,-,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",5,46
2021-04-01,1,2,-,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",6,56
2021-04-01,2,1,-,Bad Trip,Movie,,"Mar 26, 2021",5,49
2021-04-02,1,1,2,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",7,66
2021-04-02,2,2,-,Bad Trip,Movie,,"Mar 26, 2021",6,58
2021-04-03,1,1,1,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",8,76
2021-04-03,2,2,-,Bad Trip,Movie,,"Mar 26, 2021",7,67
2021-04-04,1,1,-,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",9,86
2021-04-04,2,3,-,Concrete Cowboy,Movie,Yes,"Apr 2, 2021",2,17
2021-04-05,1,1,2,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",10,96
2021-04-05,2,2,-,Concrete Cowboy,Movie,Yes,"Apr 2, 2021",3,26
2021-04-06,1,3,-,What Lies Below,Movie,,"Apr 4, 2021",2,18
2021-04-06,2,1,2,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",11,105
2021-04-07,1,1,-,What Lies Below,Movie,,"Apr 4, 2021",3,28
2021-04-07,2,2,2,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",12,114
2021-04-08,1,1,-,What Lies Below,Movie,,"Apr 4, 2021",4,38
2021-04-08,2,2,1,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",13,123
2021-04-09,1,2,1,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",14,133
2021-04-09,2,1,-,What Lies Below,Movie,,"Apr 4, 2021",5,47
2021-04-10,1,-,-,Thunder Force,Movie,Yes,"Apr 9, 2021",1,10
2021-04-10,2,1,1,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",15,142
2021-04-11,1,1,-,Thunder Force,Movie,Yes,"Apr 9, 2021",2,20
2021-04-11,2,3,-,This is a Robbery: The Worl…,TV Show,Yes,"Apr 7, 2021",3,25
2021-04-12,1,1,-,Thunder Force,Movie,Yes,"Apr 9, 2021",3,30
2021-04-12,2,2,-,This is a Robbery: The Worl…,TV Show,Yes,"Apr 7, 2021",4,34
2021-04-13,1,1,-,Thunder Force,Movie,Yes,"Apr 9, 2021",4,40
2021-04-13,2,2,-,This is a Robbery: The Worl…,TV Show,Yes,"Apr 7, 2021",5,43
2021-04-14,1,1,-,Thunder Force,Movie,Yes,"Apr 9, 2021",5,50
2021-04-14,2,2,-,This is a Robbery: The Worl…,TV Show,Yes,"Apr 7, 2021",6,52
2021-04-15,1,1,-,Thunder Force,Movie,Yes,"Apr 9, 2021",6,60
2021-04-15,2,-,-,Dad Stop Embarrassing Me!,TV Show,Yes,"Apr 14, 2021",1,9
2021-04-16,1,2,-,Dad Stop Embarrassing Me!,TV Show,Yes,"Apr 14, 2021",2,19
2021-04-16,2,3,-,Why Did You Kill Me?,Movie,Yes,"Apr 14, 2021",2,17
2021-04-17,1,1,-,Dad Stop Embarrassing Me!,TV Show,Yes,"Apr 14, 2021",3,29
2021-04-17,2,2,-,Why Did You Kill Me?,Movie,Yes,"Apr 14, 2021",3,26
2021-04-18,1,-,-,Synchronic,Movie,,"Apr 16, 2021",1,10
2021-04-18,2,1,-,Dad Stop Embarrassing Me!,TV Show,Yes,"Apr 14, 2021",4,38
2021-04-19,1,1,-,Synchronic,Movie,,"Apr 16, 2021",2,20
2021-04-19,2,5,-,The Baker and the Beauty,TV Show,,"Apr 13, 2021",4,27
2021-04-20,1,1,-,Synchronic,Movie,,"Apr 16, 2021",3,30
2021-04-20,2,2,-,The Baker and the Beauty,TV Show,,"Apr 13, 2021",5,36
2021-04-21,1,2,-,The Baker and the Beauty,TV Show,,"Apr 13, 2021",6,46
2021-04-21,2,1,-,Synchronic,Movie,,"Apr 16, 2021",4,39
2021-04-22,1,5,4,The Circle US,TV Show,Yes,"Jan 1, 2020",8,54
2021-04-22,2,1,-,The Baker and the Beauty,TV Show,,"Apr 13, 2021",7,55
2021-04-23,1,1,4,The Circle US,TV Show,Yes,"Jan 1, 2020",9,64
2021-04-23,2,2,5,The Baker and the Beauty,TV Show,,"Apr 13, 2021",8,64
2021-04-24,1,-,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",1,10
2021-04-24,2,3,-,Stowaway,Movie,Yes,"Apr 22, 2021",2,17
2021-04-25,1,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",2,20
2021-04-25,2,2,-,Stowaway,Movie,Yes,"Apr 22, 2021",3,26
2021-04-26,1,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",3,30
2021-04-26,2,2,-,Stowaway,Movie,Yes,"Apr 22, 2021",4,35
2021-04-27,1,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",4,40
2021-04-27,2,2,-,Stowaway,Movie,Yes,"Apr 22, 2021",5,44
2021-04-28,1,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",5,50
2021-04-28,2,2,-,Stowaway,Movie,Yes,"Apr 22, 2021",6,53
2021-04-29,1,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",6,60
2021-04-29,2,5,1,The Circle US,TV Show,Yes,"Jan 1, 2020",15,105
2021-04-30,1,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",7,70
2021-04-30,2,2,1,The Circle US,TV Show,Yes,"Jan 1, 2020",16,114
2021-05-01,1,-,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",1,10
2021-05-01,2,1,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",8,79
2021-05-02,1,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",2,20
2021-05-02,2,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",9,88
2021-05-03,1,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",3,30
2021-05-03,2,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",10,97
2021-05-04,1,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",4,40
2021-05-04,2,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",11,106
2021-05-05,1,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",5,50
2021-05-05,2,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",12,115
2021-05-06,1,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",6,60
2021-05-06,2,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",13,124
2021-05-07,1,-,-,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",1,10
2021-05-07,2,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",7,69
2021-05-08,1,-,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",1,10
2021-05-08,2,1,-,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",2,19
2021-05-09,1,1,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",2,20
2021-05-09,2,3,1,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",9,86
2021-05-10,1,1,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",3,30
2021-05-10,2,2,1,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",10,95
2021-05-11,1,1,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",4,40
2021-05-11,2,2,1,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",11,104
2021-05-12,1,1,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",5,50
2021-05-12,2,2,1,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",12,113
2021-05-13,1,1,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",6,60
2021-05-13,2,-,-,The Upshaws,TV Show,Yes,"May 12, 2021",1,9
2021-05-14,1,2,-,The Upshaws,TV Show,Yes,"May 12, 2021",2,19
2021-05-14,2,1,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",7,69
2021-05-15,1,-,-,The Woman in the Window,Movie,Yes,"May 14, 2021",1,10
2021-05-15,2,1,-,The Upshaws,TV Show,Yes,"May 12, 2021",3,28
2021-05-16,1,1,-,The Woman in the Window,Movie,Yes,"May 14, 2021",2,20
2021-05-16,2,2,-,The Upshaws,TV Show,Yes,"May 12, 2021",4,37
2021-05-17,1,1,-,The Woman in the Window,Movie,Yes,"May 14, 2021",3,30
2021-05-17,2,2,-,The Upshaws,TV Show,Yes,"May 12, 2021",5,46
2021-05-18,1,1,-,The Woman in the Window,Movie,Yes,"May 14, 2021",4,40
2021-05-18,2,2,-,The Upshaws,TV Show,Yes,"May 12, 2021",6,55
2021-05-19,1,1,-,The Woman in the Window,Movie,Yes,"May 14, 2021",5,50
2021-05-19,2,2,-,The Upshaws,TV Show,Yes,"May 12, 2021",7,64
2021-05-20,1,-,-,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",29,211
2021-05-20,2,1,-,The Woman in the Window,Movie,Yes,"May 14, 2021",6,59
2021-05-21,1,1,-,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",30,221
2021-05-21,2,2,-,The Woman in the Window,Movie,Yes,"May 14, 2021",7,68
2021-05-22,1,-,-,Army of the Dead,Movie,Yes,"May 21, 2021",1,10
2021-05-22,2,1,-,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",31,230
2021-05-23,1,1,-,Army of the Dead,Movie,Yes,"May 21, 2021",2,20
2021-05-23,2,2,-,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",32,239
2021-05-24,1,1,-,Army of the Dead,Movie,Yes,"May 21, 2021",3,30
2021-05-24,2,2,-,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",33,248
2021-05-25,1,1,-,Army of the Dead,Movie,Yes,"May 21, 2021",4,40
2021-05-25,2,2,-,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",34,257
2021-05-26,1,1,-,Army of the Dead,Movie,Yes,"May 21, 2021",5,50
2021-05-26,2,-,-,Home,Movie,,"May 25, 2021",1,9
2021-05-27,1,1,-,Army of the Dead,Movie,Yes,"May 21, 2021",6,60
2021-05-27,2,2,-,Home,Movie,,"May 25, 2021",2,18
2021-05-28,1,2,-,Home,Movie,,"May 25, 2021",3,28
2021-05-28,2,1,-,Army of the Dead,Movie,Yes,"May 21, 2021",7,69
2021-05-29,1,-,-,Lucifer,TV Show,,"Dec 15, 2018",21,146
2021-05-29,2,1,-,Home,Movie,,"May 25, 2021",4,37
2021-05-30,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",23,166
2021-05-30,2,3,-,Dog Gone Trouble,Movie,Yes,"May 28, 2021",2,17
2021-05-31,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",24,176
2021-05-31,2,2,-,Dog Gone Trouble,Movie,Yes,"May 28, 2021",3,26
2021-06-01,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",25,186
2021-06-01,2,2,-,Dog Gone Trouble,Movie,Yes,"May 28, 2021",4,35
2021-06-02,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",26,196
2021-06-02,2,2,-,Dog Gone Trouble,Movie,Yes,"May 28, 2021",5,44
2021-06-03,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",27,206
2021-06-03,2,2,-,Dog Gone Trouble,Movie,Yes,"May 28, 2021",6,53
2021-06-04,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",28,216
2021-06-04,2,3,-,Dirty John,TV Show,,"Nov 25, 2019",4,30
2021-06-05,1,1,1,Lucifer,TV Show,,"Dec 15, 2018",29,226
2021-06-05,2,-,-,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",1,9
2021-06-06,1,2,-,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",2,19
2021-06-06,2,1,1,Lucifer,TV Show,,"Dec 15, 2018",30,235
2021-06-07,1,1,-,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",3,29
2021-06-07,2,2,1,Lucifer,TV Show,,"Dec 15, 2018",31,244
2021-06-08,1,1,-,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",4,39
2021-06-08,2,2,1,Lucifer,TV Show,,"Dec 15, 2018",32,253
2021-06-09,1,1,-,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",5,49
2021-06-09,2,2,1,Lucifer,TV Show,,"Dec 15, 2018",33,262
2021-06-10,1,1,-,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",6,59
2021-06-10,2,-,-,Awake,Movie,Yes,"Jun 9, 2021",1,9
2021-06-11,1,1,-,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",7,69
2021-06-11,2,2,-,Awake,Movie,Yes,"Jun 9, 2021",2,18
2021-06-12,1,1,2,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",8,79
2021-06-12,2,3,-,Manifest,TV Show,,"Jun 10, 2021",2,17
2021-06-13,1,2,-,Manifest,TV Show,,"Jun 10, 2021",3,27
2021-06-13,2,1,1,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",9,88
2021-06-14,1,1,-,Manifest,TV Show,,"Jun 10, 2021",4,37
2021-06-14,2,2,1,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",10,97
2021-06-15,1,1,-,Manifest,TV Show,,"Jun 10, 2021",5,47
2021-06-15,2,3,-,Wish Dragon,Movie,Yes,"Jun 11, 2021",4,32
2021-06-16,1,1,-,Manifest,TV Show,,"Jun 10, 2021",6,57
2021-06-16,2,2,-,Wish Dragon,Movie,Yes,"Jun 11, 2021",5,41
2021-06-17,1,1,-,Manifest,TV Show,,"Jun 10, 2021",7,67
2021-06-17,2,2,-,Wish Dragon,Movie,Yes,"Jun 11, 2021",6,50
2021-06-18,1,1,3,Manifest,TV Show,,"Jun 10, 2021",8,77
2021-06-18,2,2,-,Wish Dragon,Movie,Yes,"Jun 11, 2021",7,59
2021-06-19,1,-,-,Fatherhood,Movie,Yes,"Jun 18, 2021",1,10
2021-06-19,2,1,2,Manifest,TV Show,,"Jun 10, 2021",9,86
2021-06-20,1,1,-,Fatherhood,Movie,Yes,"Jun 18, 2021",2,20
2021-06-20,2,2,1,Manifest,TV Show,,"Jun 10, 2021",10,95
2021-06-21,1,1,-,Fatherhood,Movie,Yes,"Jun 18, 2021",3,30
2021-06-21,2,2,1,Manifest,TV Show,,"Jun 10, 2021",11,104
2021-06-22,1,1,-,Fatherhood,Movie,Yes,"Jun 18, 2021",4,40
2021-06-22,2,2,1,Manifest,TV Show,,"Jun 10, 2021",12,113
2021-06-23,1,1,-,Fatherhood,Movie,Yes,"Jun 18, 2021",5,50
2021-06-23,2,2,1,Manifest,TV Show,,"Jun 10, 2021",13,122
2021-06-24,1,2,1,Manifest,TV Show,,"Jun 10, 2021",14,132
2021-06-24,2,1,-,Fatherhood,Movie,Yes,"Jun 18, 2021",6,59
2021-06-25,1,1,1,Manifest,TV Show,,"Jun 10, 2021",15,142
2021-06-25,2,2,-,Fatherhood,Movie,Yes,"Jun 18, 2021",7,68
2021-06-26,1,-,-,The Ice Road,Movie,Yes,"Jun 25, 2021",1,10
2021-06-26,2,1,2,Manifest,TV Show,,"Jun 10, 2021",16,151
2021-06-27,1,1,-,The Ice Road,Movie,Yes,"Jun 25, 2021",2,20
2021-06-27,2,2,2,Manifest,TV Show,,"Jun 10, 2021",17,160
2021-06-28,1,1,-,The Ice Road,Movie,Yes,"Jun 25, 2021",3,30
2021-06-28,2,2,2,Manifest,TV Show,,"Jun 10, 2021",18,169
2021-06-29,1,2,2,Manifest,TV Show,,"Jun 10, 2021",19,179
2021-06-29,2,1,-,The Ice Road,Movie,Yes,"Jun 25, 2021",4,39
2021-06-30,1,1,2,Manifest,TV Show,,"Jun 10, 2021",20,189
2021-06-30,2,2,-,The Ice Road,Movie,Yes,"Jun 25, 2021",5,48
2021-07-01,1,1,1,Manifest,TV Show,,"Jun 10, 2021",21,199
2021-07-01,2,7,3,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",23,138
2021-07-02,1,1,1,Manifest,TV Show,,"Jun 10, 2021",22,209
2021-07-02,2,2,3,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",24,147
2021-07-03,1,1,2,Manifest,TV Show,,"Jun 10, 2021",23,219
2021-07-03,2,3,6,Sex/Life,TV Show,Yes,"Jun 25, 2021",8,60
2021-07-04,1,1,2,Manifest,TV Show,,"Jun 10, 2021",24,229
2021-07-04,2,3,-,Fear Street Part 1: 1994,Movie,Yes,"Jul 2, 2021",2,17
2021-07-05,1,1,2,Manifest,TV Show,,"Jun 10, 2021",25,239
2021-07-05,2,3,4,Sex/Life,TV Show,Yes,"Jun 25, 2021",10,77
2021-07-06,1,1,1,Manifest,TV Show,,"Jun 10, 2021",26,249
2021-07-06,2,2,3,Sex/Life,TV Show,Yes,"Jun 25, 2021",11,86
2021-07-07,1,1,1,Manifest,TV Show,,"Jun 10, 2021",27,259
2021-07-07,2,2,3,Sex/Life,TV Show,Yes,"Jun 25, 2021",12,95
2021-07-08,1,1,1,Manifest,TV Show,,"Jun 10, 2021",28,269
2021-07-08,2,2,3,Sex/Life,TV Show,Yes,"Jun 25, 2021",13,104
2021-07-09,1,1,1,Manifest,TV Show,,"Jun 10, 2021",29,279
2021-07-09,2,2,3,Sex/Life,TV Show,Yes,"Jun 25, 2021",14,113
2021-07-10,1,-,-,Virgin River,TV Show,Yes,"Dec 6, 2019",28,175
2021-07-10,2,1,1,Manifest,TV Show,,"Jun 10, 2021",30,288
2021-07-11,1,1,-,Virgin River,TV Show,Yes,"Dec 6, 2019",29,185
